Book Title,Date Started,Date Finished,Status,Author (AI managed),isFiction,Genre (AI managed),Page Count (AI managed)
"Thinking, Fast and Slow",,,Not Started,Daniel Kahneman,,Psychology,512
How Democracies Die,,,Not Started,"Steven Levitsky, Daniel Ziblatt",,Politics,320
The Mind Illuminated,"August 28, 2024","November 12, 2024",Paused,"John Yates, Matthew Immergut, Jeremy Graves",,"Self-help, Productivity",512
Angela's Ashes: A Memoir,"February 24, 2025","March 21, 2025",Paused,Frank McCourt,,"Memoir, Historical",368
After Europe,"December 23, 2024","April 9, 2025",In Progress,Ivan Krastev,,"Politics, International",120
Atomic Habits,"July 28, 2024","August 30, 2024",Completed,James Clear,,Productivity,320
The Glass Bead Game,"August 18, 2024","September 25, 2024",Completed,Hermann Hesse,TRUE,Philosophy,576
Difficult Conversations,"October 18, 2024","November 10, 2024",Completed,"Douglas Stone, Bruce Patton, Sheila Heen",,Communication,352
Red Rising (Red Rising Series Book 1),"February 10, 2025","February 12, 2025",Completed,Pierce Brown,TRUE,Dystopian,382
Golden Son (Red Rising Book 2),"February 12, 2025","February 16, 2025",Completed,Pierce Brown,TRUE,Dystopian,464
Morning Star (Red Rising Series Book 3),"February 16, 2025","February 23, 2025",Completed,Pierce Brown,TRUE,Dystopian,544
A Short History of Nearly Everything,"November 13, 2024","November 27, 2024",Abandoned,Bill Bryson,FALSE,"Science, Historical",544
De la démocratie en Amérique - Tome I et II,"November 25, 2024","December 23, 2024",Abandoned,Alexis de Tocqueville,FALSE,"Politics, Philosophy",436
