Name,Type,Address,Latitude,Longitude,Notes,isClosed
Tartines et Gourmandises,Bakery,"20 Rue Froide, 14000 Caen, France",49.183656,-0.365744,"There’s a permenent line in front of this place. Overall best pastries in Caen. They speak English, but they’re happy to entertain people working on their French. Located on my favorite street in Caen, La Rue Froide",False
Jardin des Plantes,"Café, Greenery","5 Place Blot, 14000 Caen, France",49.18924,-0.370669,"There’s a cafe which is open in the summertime, l'Orangerie. On the far right side, there are often fun plants that have surprising smells or textures. The open flower gardens are a cute place for a picnic or painting.",False
Gaston (now Gustav),Restaurant,"21 Pl. Saint-Sauveur, 14000 Caen, France",49.182504,-0.369225,"Great food & good ambiance, mais il faut dire que ça coûte la peau du cul",False
L.S. Vivien,Bakery,"14 Rue de la Gare, 14000 Caen, France",49.176535,-0.351923,"Must try the eclairs — they do something about the way the pastry is made with vanilla, I suspect.",False
Bayeux Tapestry Museum,Museum,"13 bis Rue de Nesmond, 14400 Bayeux, France",49.274137,-0.700831,About 45 minutes no matter which language you choose. All paced equally.,False
Keys & Co,"Café, Restaurant","45 Avenue du 6 Juin, 14000 Caen, France",49.178535,-0.353301,"There are two locations, but the one closer to Moho is my favorite. The second one is more spacious and near the library.",False
Le Boudoir,Bar,"15 Rue Pémagnie, 14000 Caen, France",49.183698,-0.369376,Classy ambiance,False
MoHo,"Working Space, Restaurant","2 Rue de la Gare, 14000 Caen, France",49.176964,-0.353032,After work get togethers are every Thursday night starting at 6pm. I stopped going regularly after summer of 2023.,False
Canaglia,Restaurant,"5 Rue Écuyère, 14000 Caen, France",49.181969,-0.367567,"The pizzas have been to die for, but recently I feel like the quality has gone down (maybe since February 2024).",False
Arromanches-les-Bains,View,"2 Rue Maréchal Joffre, 14117 Arromanches-les-Bains, France",49.339994,-0.622388,There are the sunken pontoons that served as bridges to unload tanks from ships when the US stormed the beaches of Normandy.,False
Bibliothèque Alexis de Tocqueville,Working Space,"15 Quai François Mitterrand, 14000 Caen, France",49.182097,-0.350536,"A temple to knowledge, community, and the future writ large. Thoughtful design. Lovely seating. Has a connected café.",False
Vertigo,Bar,"14 Rue Écuyère, 14000 Caen, France",49.182043,-0.367283,"Must try the “embuscade” — it’s a renowned local drink, and though several bars in town claim to be its inventor, this one makes the best one.",False
Château de Caen,"View, Greenery","Esplanade de la Paix, Rue de Geôle, Avenue de la Libération, 14000 Caen, France",49.1854508,-0.3613227,"Live on the edge, sit on the ledge. 😉",False
Arbuste,Café,"4 Rue Montoir Poissonnerie, 14000 Caen, France",49.184489,-0.360426,Best coffee in Caen.,False
Pain Vivant,Bakery,"7 Avenue de Rouen, 14000 Caen, France",49.174737,-0.336602,The best bakery in Caen.,False
Les Petites Douceurs,Café,"13 Rue aux Fromages, 14000 Caen, France",49.182523,-0.368283,"The tea was good, the pots pretty, and the ambiance of sitting under the trees was lovely.",False
Dunes,Restaurant,"30 Rue Arcisse de Caumont, 14000 Caen, France",49.181442,-0.368317,"I haven’t eaten here yet, but I asked them if I could come inside to look and it seems like a really nice space.",False
RH Pavilion,"Bar, Restaurant","Rathenauufer 1, 53113 Bonn, Germany",50.732225,7.109531,The view was stellar.,False
5 Senses,Café,"Am Neutor 8, 53113 Bonn, Germany",50.732984,7.100992,"Really liked the espresso. I asked for a Lungo, and I’m not totally sure it’s what they brought me, but it was great all the same. Did some work there for about an hour and they had a nice little terrace.",False
Stadtbibliothek Bonn,Working Space,"Mülheimer Platz 1, 53111 Bonn, Germany",50.733932,7.096971,Thoughtful design. Good studying space. Missing water fountain but can use bathroom sink.,False
Der Kaffeeladen,Café,"Ob. Wilhelmstraße 25, 53225 Bonn",50.7400566,7.1253578,"Good local roaster. Really like Wilder Filter for French press. They have another location downtown, but the roasting happens at this one.",False
Moon & Sons,Bakery,"20 Av. de la Libération, 14000 Caen, France",49.184549,-0.3597905,"The first good vegan pastries I've ever had. Fitting it would be in France, I suppose.",False
Musée d'initiation à la nature,Greenery,"Enceinte de l'Abbaye aux Hommes, 14000 Caen, France",49.18032445960328,-0.3732073124980739,"A small garden, but a hidden treasure. Not so much grass for lounging around on, but this is a fun place to walk through or hang out on a bench. You're also right across the street from the ruine of a church—allegedly you can easily jump over the wall and explore it.",False
Max Kugel,Bakery,"Bonner Talweg 34, 53113 Bonn, Germany",50.7262589,7.1009965,"This is the only truly local bakery I know of in Bonn. Franchising seems much more common here than in France. P.S. Don't try searching for great pretzels here, Max Kugel doesn't do them, so you only have mass produced options.",False
Bonner Münster Monastery,Greenery,"Gerhard-von-Are-Straße 5, 53111 Bonn, Germany",50.73303803359828,7.0995412825531234,"This place is nice, but the best part is how this tranquil place is virtually hidden inside the bustling city center.",False
Botanische Gärten,Greenery,"Meckenheimer Allee 169, 53115 Bonn, Germany",50.724524,7.093194,Just a nice garden :),
Hofgarten Bonn,Activities,"Am Hofgarten, 53111 Bonn",50.73265022830607,7.104434960561226,"This is the main place where people hang out for picnics and playing lawn games like soccer, frisbee, and lots of spike ball. A great place to jump into a game if you don’t have a ball or whatever yourself.",
Cold Hollow Cider Mill,Shop,"3600 Waterbury-Stowe Rd, Waterbury Center, VT 05677, United States",44.3813667,-72.7197344,"Basically a tourist shop except that the quality of most things is excellent and it's enormous. The donuts here are a must, and there is free cider in the back.",
Craftsbury Outdoor Center,Activities,"535 Lost Nation Rd, Craftsbury Common, VT 05827, United States",44.6803557,-72.3634911,"State of the art cross country skiing center. Craftsbury has produced a several gold medal olympians in the sport, so this center followed in their wake.",
Vermont Vaudeville,Activities,"Greensboro, Vermont",44.5760038,-72.2956806,Wherever these folks are performing: get there.,
Ben & Jerry’s Factory,Activities,"1281 Waterbury-Stowe Rd Route 100, Waterbury, VT 05676, United States",44.350199,-72.742355,"The tour is fine, but the real kicker is they have flavors that underperformed nationally but still exists at the factory. I was pretty into the maple-walnut.",
August First,Bakery,"149 S Champlain St, Burlington, VT 05401, United States",44.4755536,-73.2172979,"A great bakery, and they had a really generous sample policy when I was there in 2020. I'm talking about a whole great big slice of sweet bread—amazing.",
Jewish Museum Berlin,Museum,"Lindenstraße 9-14, 10969 Berlin, Germany",52.502847,13.395502,Architecturally fascinating — the zigzag building is by Daniel Libeskind. Exhibits are extensive and thought-provoking.,False
Berlin Wall,Museum,"Bernauer Str. 111, 13355 Berlin, Germany",52.535088,13.390362,Part of the original wall remains; the open-air exhibition is powerful and includes personal stories and historical context.,False
Singer109 Hostel,Accommodation,"Singerstraße 109, 10179 Berlin, Germany",52.515282,13.417519,Clean and social. Central location with easy access to public transport. Good for budget-conscious travelers.,False
